order_id,store_name,store_lat,store_lng,delivery_lat,delivery_lng,distance_km,item_count,hour,store_load,timestamp,pick_pack_time_min
1,"Nilgiris, Nungambakkam",13.0604,80.2496,13.16651074810674,80.37254319448326,17.78996354578129,12,13,48,2026-08-27 13:19:00,19.42
2,"Reliance Smart, Porur",13.0359,80.1567,12.873384201904601,80.19639028518121,18.575721441225575,4,20,46,2026-08-27 20:30:00,12.74
3,"D-Mart, Siruseri OMR",12.829,80.2245,12.81373198109484,80.37490700485543,16.3956327123711,13,8,25,2026-08-27 08:26:00,16.59
4,"Nilgiris, Alwarpet",13.0338,80.2547,13.04769469493503,80.38471726473949,14.16889368594885,5,21,2,2026-08-27 21:28:00,5.0
5,"Nilgiris, Alwarpet",13.0338,80.2547,12.976278796833396,80.36614703873903,13.663924498262475,7,16,30,2026-08-27 16:10:00,13.01
6,"Star Bazaar, Chetpet",13.0692,80.241,13.179858344759458,80.203167520686,12.968764745712853,10,10,28,2026-08-27 10:41:00,16.07
7,"Nilgiris, Nungambakkam",13.0604,80.2496,12.997416605863828,80.37004810639736,14.809104283000785,2,12,8,2026-08-27 12:57:00,6.46
8,"D-Mart, Siruseri OMR",12.829,80.2245,12.878769751707067,80.08086084247155,16.525873405601022,8,16,32,2026-08-27 16:50:00,13.76
9,"Spencer's, Guindy",13.0067,80.2206,12.971789220815138,80.366987559411,16.32917629267621,8,12,42,2026-08-27 12:02:00,17.18
10,"Nilgiris, Nungambakkam",13.0604,80.2496,13.158055972572829,80.12944645443417,16.947981288184984,11,9,6,2026-08-27 09:12:00,12.81
11,"More Supermarket, Velachery",12.9791,80.2181,13.099116828705368,80.30196013620748,16.1437974054192,14,17,36,2026-08-27 17:34:00,22.33
12,"More Supermarket, Tambaram",12.9249,80.1,13.038012401540772,80.23582512725031,19.35939822700626,10,18,7,2026-08-27 18:05:00,10.29
13,"Reliance Smart, Porur",13.0359,80.1567,12.901182637144734,80.06445020794011,18.008841760850967,6,9,37,2026-08-27 09:59:00,14.31
14,"Reliance Smart, Porur",13.0359,80.1567,13.03211801750287,80.33629661369754,19.4602706281733,6,12,21,2026-08-27 12:47:00,9.13
15,"Reliance Smart, Porur",13.0359,80.1567,12.96249924387962,80.08931752771203,10.950491975644013,6,11,1,2026-08-27 11:07:00,6.97
16,"Nilgiris, Adyar",13.0067,80.257,12.868503479567995,80.28776595253805,15.724305140338497,12,17,48,2026-08-27 17:33:00,20.26
17,"More Supermarket, Velachery",12.9791,80.2181,13.027357929752071,80.06300803645712,17.63923390006588,5,18,9,2026-08-27 18:14:00,10.77
18,"Nilgiris, Nungambakkam",13.0604,80.2496,13.187177670343273,80.37149448184131,19.31236235690102,3,18,30,2026-08-27 18:35:00,7.53
19,"Nilgiris, Adyar",13.0067,80.257,12.953167843528234,80.17298096077721,10.877090119107685,5,22,9,2026-08-27 22:55:00,9.62
20,"Nilgiris, Alwarpet",13.0338,80.2547,12.95836837009584,80.38811504685306,16.712314133085926,1,19,46,2026-08-27 19:46:00,11.05
21,"More Supermarket, Velachery",12.9791,80.2181,12.958655517206571,80.3793987180451,17.625321470706524,2,12,37,2026-08-27 12:31:00,8.85
22,"D-Mart, Sholinganallur OMR",12.901,80.2279,12.963345413521447,80.31344371741584,11.576116486249997,2,9,40,2026-08-27 09:18:00,12.1
23,"Spencer's, Guindy",13.0067,80.2206,12.910593399056753,80.30938032671796,14.379040371987532,11,17,22,2026-08-27 17:10:00,17.32
24,"Star Bazaar, Chetpet",13.0692,80.241,13.102091737022576,80.06545518658682,19.361399868384623,11,21,23,2026-08-27 21:33:00,16.52
25,"Reliance Smart, Porur",13.0359,80.1567,13.159242363541182,80.14603518439014,13.763594734808262,10,22,32,2026-08-27 22:50:00,17.09
26,"D-Mart, Siruseri OMR",12.829,80.2245,12.888383090879538,80.14122395368922,11.184785772170414,7,11,39,2026-08-27 11:57:00,14.14
27,"D-Mart, Sholinganallur OMR",12.901,80.2279,12.815217728245743,80.173415250447,11.219216783351126,11,11,42,2026-08-27 11:32:00,17.41
28,"Nilgiris, Adyar",13.0067,80.257,13.066342383650177,80.13752129855831,14.543179618417465,3,8,1,2026-08-27 08:00:00,3.67
29,"More Supermarket, Velachery",12.9791,80.2181,12.85644734828211,80.26580458869715,14.58548081798551,13,10,33,2026-08-27 10:30:00,19.01
30,"Nilgiris, Alwarpet",13.0338,80.2547,13.156833156567258,80.36003302186157,17.81294035431516,8,16,6,2026-08-27 16:55:00,6.83
31,"Nilgiris, Alwarpet",13.0338,80.2547,12.998010650458049,80.42422294442072,18.792000243077453,14,16,15,2026-08-27 16:02:00,17.14
32,"Reliance Fresh, Royapettah",13.0524,80.2593,12.961500650585545,80.10010411976052,19.991047304742388,3,13,41,2026-08-27 13:06:00,11.76
33,"Nilgiris, Nungambakkam",13.0604,80.2496,13.138641579326423,80.18890080555171,10.904407269841327,7,12,13,2026-08-27 12:14:00,11.35
34,"More Supermarket, Velachery",12.9791,80.2181,12.996286720564685,80.11409182343982,11.43021875166635,10,20,40,2026-08-27 20:14:00,18.23
35,"Star Bazaar, Chetpet",13.0692,80.241,12.97371342566291,80.09437618351207,19.106382271308853,7,14,23,2026-08-27 14:00:00,11.65
36,"More Supermarket, T Nagar",13.0418,80.2341,12.967400172714939,80.1741708177904,10.51657917014399,7,20,12,2026-08-27 20:00:00,8.46
37,"Star Bazaar, Chetpet",13.0692,80.241,13.134319157925908,80.14821731639613,12.385528206273884,3,22,17,2026-08-27 22:40:00,6.93
38,"Nilgiris, Adyar",13.0067,80.257,13.030646294424207,80.08076097907798,19.277954301722804,6,12,27,2026-08-27 12:48:00,13.48
39,"Reliance Fresh, Royapettah",13.0524,80.2593,13.212457921619883,80.30168080895018,18.37980218655383,4,11,38,2026-08-27 11:06:00,10.75
40,"Spencer's, Egmore",13.0779,80.2578,13.073772731019417,80.1189572491408,15.045309901929866,5,22,30,2026-08-27 22:07:00,11.64
41,"Spencer's, Guindy",13.0067,80.2206,13.100050776624322,80.36209663821727,18.51131099761935,10,17,46,2026-08-27 17:03:00,15.68
42,"Reliance Smart, Porur",13.0359,80.1567,13.007388196924468,80.04311076016687,12.707587513178002,9,12,43,2026-08-27 12:11:00,19.23
43,"D-Mart, Siruseri OMR",12.829,80.2245,12.965510207747991,80.27443789303307,16.115436059770694,9,17,37,2026-08-27 17:00:00,14.19
44,"Star Bazaar, Anna Nagar",13.085,80.2101,13.04237144820792,80.0417474610566,18.84145711366817,6,15,30,2026-08-27 15:02:00,13.69
45,"More Supermarket, T Nagar",13.0418,80.2341,13.081604758147147,80.32623372141151,10.91721005824198,14,21,15,2026-08-27 21:35:00,14.85
46,"More Supermarket, Tambaram",12.9249,80.1,12.819834743449235,79.97561271438369,17.84080948341408,2,11,21,2026-08-27 11:27:00,8.24
47,"Nilgiris, Alwarpet",13.0338,80.2547,13.130915860371264,80.21952000437027,11.451302546650497,5,22,6,2026-08-27 22:25:00,7.39
48,"Star Bazaar, Chetpet",13.0692,80.241,12.978722977670587,80.11453363932947,16.99775944589066,2,22,19,2026-08-27 22:34:00,9.12
49,"D-Mart, Siruseri OMR",12.829,80.2245,12.725860545832155,80.21894564470347,11.484389899200579,5,10,46,2026-08-27 10:54:00,14.42
50,"Reliance Smart, Porur",13.0359,80.1567,13.102880457072471,80.23382962271081,11.192175261977447,14,10,21,2026-08-27 10:28:00,17.59
51,"Reliance Smart, Porur",13.0359,80.1567,12.930394268993805,80.2093891328978,13.047046037608313,6,15,6,2026-08-27 15:24:00,9.2
52,"Spencer's, Guindy",13.0067,80.2206,12.900011819040476,80.29123274470727,14.118108965855702,13,8,32,2026-08-27 08:38:00,15.82
